liked,text,time,topic
0,"If the leader is filled with high ambition and if he pursues his aims with audacity and strength of will, he will reach them in spite of all obstacles.",2017-08-12 20:35:09.234636,spite
0,I love 'Game of Thrones' and 'Breaking Bad.',2017-08-12 20:36:12.815477,Game of Thrones
0,"We will be remembered only if we give to our younger generation a prosperous and safe India, resulting out of economic prosperity coupled with civilizational heritage.",2017-08-12 20:37:08.568396,India
0,"Mental toughness is spartanism with qualities of sacrifice, self-denial, dedication. It is fearlessness, and it is love.",2017-08-12 20:38:09.036574,fearlessness
0,Babe Ruth was not afraid to strike out. And it was this fearlessness that contributed to his remarkable career.,2017-08-12 20:39:06.976701,fearlessness
0,"Revenge is a particularly interesting concept, especially the notion of whether or not it exists outside of just an abstract idea.",2017-08-12 20:40:09.010980,revenge
0,"I really believe that all of us have a lot of darkness in our souls. Anger, rage, fear, sadness. I don't think that's only reserved for people who have horrible upbringings. I think it really exists and is part of the human condition. I think in the course of your life you figure out ways to deal with that.",2017-08-12 20:41:09.054000,fear
0,"I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.",2017-08-12 20:42:09.911418,World
0,"Success is no accident. It is hard work, perseverance, learning, studying, sacrifice and most of all, love of what you are doing or learning to do.",2017-08-12 20:43:06.870987,success
0,The greatest healing therapy is friendship and love.,2017-08-12 20:44:08.270702,love
0,The relationship between husband and wife should be one of closest friends.,2017-08-12 20:45:13.192563,friends
0,"Put your heart, mind, and soul into even your smallest acts. This is the secret of success.",2017-08-12 20:46:09.165660,success
0,"Mama was my greatest teacher, a teacher of compassion, love and fearlessness. If love is sweet as a flower, then my mother is that sweet flower of love.",2017-08-12 20:47:08.674391,fearlessness
0,It is impossible to suffer without making someone pay for it; every complaint already contains revenge.,2017-08-12 20:48:07.901676,revenge
0,I think a hero is an ordinary individual who finds strength to persevere and endure in spite of overwhelming obstacles.,2017-08-12 20:49:12.811121,spite
0,"The world is a book, and those who do not travel read only a page.",2017-08-12 20:50:16.582701,World
0,"Revenge, lust, ambition, pride, and self-will are too often exalted as the gods of man's idolatry; while holiness, peace, contentment, and humility are viewed as unworthy of a serious thought.",2017-08-12 20:51:08.672878,revenge
0,"In spite of the opinions of certain narrow-minded people, who would shut up the human race upon this globe, as within some magic circle it must never outstep, we shall one day travel to the moon, the planets, and the stars, with the same facility, rapidity, and certainty as we now make the voyage from Liverpool to New York!",2017-08-12 20:52:08.642157,spite
0,"There is no love without forgiveness, and there is no forgiveness without love.",2017-08-12 20:53:08.971819,love
